protection,BC,CE,CC,CJ,CR,DL,DC,DS,DV,CH,LB,LM,LV,MU,MS,MH,OM,OV,PA,PP,PSD,SS,SO,SAT,SC,SAU,SPOC,SY,TL,ADS,TS,NTS,TSabove,TSabove2,TSbelow,DSabove,DVabove,MUabove,otherTSabove2,DSbelow,DVbelow,OVbelow,otherTSbelow
N,0.0,0.0,0.0,64.7,0.0,0.0,0.0,757.6,289.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5,0.0,0.0,0.0,0.0,1147.7,1047.5,100.2,542.4,542.4,0.0,252.5,289.9,0.0,0.0,0.0,0.0,0.0,0.0
N,0.0,5.6,0.0,203.8,8.8,0.0,0.0,503.8,179.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.1,0.0,0.0,0.0,0.0,929.6,683.3,246.3,515.4,515.4,0.0,335.9,179.5,0.0,0.0,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,190.4,0.0,0.0,104.9,843.4,176.0,25.5,610.0,0.0,0.0,312.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,0.0,0.0,62.0,0.0,2348.8,1436.7,912.1,1172.5,1172.5,23.2,602.4,152.7,312.5,104.9,0.0,23.2,0.0,0.0
N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663.3,606.5,0.0,0.0,0.0,0.0,297.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1567.4,1567.4,0.0,1567.4,1567.4,0.0,663.3,606.5,297.6,0.0,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,255.3,0.0,0.0,0.0,214.2,199.8,0.0,0.0,0.0,0.0,312.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.1,0.0,0.0,23.8,0.0,1039.8,726.7,313.1,476.3,476.3,103.3,107.1,56.5,312.8,0.0,0.0,103.3,0.0,0.0
N,0.0,0.0,0.0,329.1,0.0,0.0,0.0,1113.6,330.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.6,0.0,0.0,0.0,0.0,1803.6,1443.9,359.7,779.5,779.5,77.4,616.8,162.7,0.0,0.0,51.4,26.0,0.0,0.0
N,0.0,26.0,0.0,454.4,20.5,0.0,0.0,440.8,376.7,0.0,1953.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.5,0.0,50.0,0.0,0.0,3498.8,867.5,2631.3,563.8,563.8,303.7,440.8,123.1,0.0,0.0,0.0,253.6,0.0,50.0
N,0.0,0.0,0.0,268.4,8.8,0.0,0.0,0.0,458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497.1,0.0,0.0,0.0,0.0,0.0,0.0,38.3,0.0,0.0,0.0,0.0,1270.6,955.1,315.5,217.4,217.4,585.0,0.0,217.4,0.0,0.0,0.0,87.9,497.1,0.0
N,0.0,6.2,0.0,373.4,0.0,0.0,0.0,1101.7,653.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595.9,0.0,0.0,0.0,0.0,0.0,0.0,116.1,0.0,0.0,0.0,0.0,2846.8,2351.2,495.6,1189.6,1189.6,941.3,881.4,308.2,0.0,0.0,0.0,345.3,595.9,0.0
N,0.0,0.0,0.0,37.9,0.0,0.0,0.0,0.0,184.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,926.7,0.0,0.0,0.0,0.0,0.0,0.0,1148.8,1111.0,37.9,926.7,926.7,92.2,0.0,0.0,0.0,926.7,0.0,92.2,0.0,0.0
